sku;url;aktiv
A15716;https://hemmabutiken.se/889-airfryer-11l-s-fry-duo-stapel-fr-2468.html;ja
A15716;https://cdon.se/produkt/airfryer-11l-dubbelkorg-stapelbar-033c5bb94e825cae/;ja
MIDEA-MAD1100DADK;https://cdon.se/produkt/midea-airfryer-med-tva-zoner-mad1100dadk-d62e7e9758b65e9b/;ja
MIDEA-MAD1100DADK;https://www.themobilestore.se/midea-airfryer-2in1-kombination-med-ugn-6-4-4-4-liter;ja
