sku;produktnamn;shopify_product_id;shopify_variant_id;inkopspris;min_marginal_procent;undercut_kr;aktiv
A15716;Airfryer 11L S-Fry Duo stapel FR 2468;gid://shopify/Product/16043785912669;gid://shopify/ProductVariant/64029188686173;1196;15;1;ja
MIDEA-MAD1100DADK;Midea Airfryer med två zoner MAD1100DADK;gid://shopify/Product/16043785847133;gid://shopify/ProductVariant/64029188555101;1000;15;1;ja
