sku;produktnamn;shopify_lager;shopify_pris_nu;billigaste_konkurrent;billigaste_url;billigaste_konkurrentpris;foreslaget_pris;inkopspris;marginal_efter_procent;minsta_tillatna_pris;prisandring_kr;prisandring_procent;status;orsak;hamtade_priser;prishamtningsfel;godkand;shopify_product_id;shopify_variant_id;timestamp
A15716;Airfryer 11L S-Fry Duo stapel FR 2468;1;2138;CDON;https://cdon.se/produkt/airfryer-11l-dubbelkorg-stapelbar-033c5bb94e825cae/;2139;2138;1196;44.06;1407.06;0;0;INGEN_ANDRING;Shopify-priset ligger redan pa foreslaget pris.;Hemmabutiken: 0 kr | CDON: 2139 kr;;;gid://shopify/Product/16043785912669;gid://shopify/ProductVariant/64029188686173;2026-05-05T19:08:51.465Z
MIDEA-MAD1100DADK;Airfryer 2 i 1 Kombination med Ugn 6,4 + 4,4 Liter;1;2999;TheMobileStore;https://www.themobilestore.se/midea-airfryer-2in1-kombination-med-ugn-6-4-4-4-liter;2199;2198;1000;54.5;1176.47;-801;-26.71;OK;Billigaste konkurrent ar TheMobileStore med 2199 kr. Foreslaget pris ar 2198 kr.;CDON: 3059 kr | TheMobileStore: 2199 kr;;;gid://shopify/Product/16043785847133;gid://shopify/ProductVariant/64029188555101;2026-05-05T19:08:51.465Z
